列名,数据类型,字段类型,长度,是否为空,默认值,备注
id,int(11),int,,NO,,""
name,varchar(100),varchar,100,YES,,名称（会议内容）
price,double,double,,YES,,会议标准费用
comment,text,text,65535,YES,,""
experts,int(11),int,,YES,,需要专家人数
people,int(11),int,,YES,0,参会人数
